ID Product,Product Description,ID Product Category,Own Brand
930679,LICOR DE CAFÉ KAHLUA 70CL,LICORES,0
908760,MOLHO KEBAB DONA SARAH 900 ML,MOLHOS,0
955117,CROISSANT PARIS HOTL EUROPASTRY CONG 45G,PADARIA,0
887354,SAL ROSA HIMALAYA CARMENCITA MOINHO 370G,ESPECIARIAS,0
929467,SEMENTES DE COENTROS CARMENCITA 287 GR,ESPECIARIAS,0
100290,LICOR BOLS CREME CASSIS 70 CL,LICORES,0
890686,NÉCTAR COMPAL CLÁSSICO FR VERMELHOS 1L,NÉCTARES,0
817666,MIOLO DE VIEIRA 900G CONG,BIVALVES,0
486076,COUVE BRANCA RIPADA 1KG 4G MCHEF RCH,4A GAMA,1
964546,MOSTARDA DONA SARAH TOPDOWN 250 GR,MOLHOS,0
306860,CEREAIS SPECIAL K FRUTOS VERMELHOS 300G,CEREAIS,0
865509,XAROPE MELANCIA MONIN 70CL,XAROPES,0
968940,PORCO COSTELETA LOMBO CONG KG,SUINO,0
274594,V.P.SET.AD.PEGOES TTO 75CL,VINHOS TINTOS,0
880981,QUEIJO CREME BRANCO IND. ARLA PRO 16KG,FUNDIDO,0
27252,WHISKY VAT 69  70 CL,WHISKY,0
744835,LULA RECHEADA CONGELADA 7KG,CEFALÓPODES,0
834679,ESPUMANTE ALIANÇA DANÚBIO BRUTO 75CL,ESPUMANTES NACIONAIS,0
416244,BATATA FRITAR CUBOS 10X10 5KG 4G RCH,4A GAMA,0
10000343,RANCHO VEGETARIANO *,PRATO VEGETARIANO,0
10004635,MOUSSAKA DE LEGUMES*,PRATO VEGETARIANO,0
200324,"V MADEIRA BLANDYS 10A MALMSEY 0,75LT",VINHO MADEIRA,0
694386,SUMA AUTOOVEN CLEAN D9.10 2X5L(DETERG.),MULTIUSOS,0
801857,GUARD RENOVA A TABLE G BCO 39X39,GUARDANAPOS FOLHA DUPLA,0
101672,OLEO ALIMENTAR VAQUEIRO 10 LT,ÓLEOS,0
402971,POLPA FRUTA CONG. MANGA BRASFRUT 400G,FRUTAS,0
550946,COMPOTA MAÇA NATURAL ANDROS 750GR,MEL E DOCES,0
844908,PERNA PORCO C/ OSSO C/ COURATO CONG. VC,SUINO,0
922167,QUEIJO BARRA EMMENTAL KG,EMMENTAL,0
968305,V.DAO EVIDENCIA DOC BCO 75CL,VINHOS BRANCOS,0
874060,BACALHAU POSTAS MASTERCHEF CG 3KG,BACALHAU,1
959040,* ARROZ AGULHA INOX,ACOMPANHAMENTO,0
10006923,COXINHAS DE FRANGO COM BACON*,PRATO DE CARNE,0
955193,MINI PÃO AZEITONAS EUROPASTRY CONG 35 G,PADARIA,0
940491,* CHEESECAKE CHOCOLATE BRANCO E MARACUJÁ,SOBREMESAS,0
732180,DOCE BONNE MAMAN CEREJA15X30GR,MEL E DOCES,0
811705,PÃO RALADO ESTILO JAPONÊS YUTAKA 300G,PRODUTOS DE PADARIA,0
915209,BOVINO VAZIA ANGUS GRAIN FED URY/ARG KG,BOVINO,0
740394,XAROPE MONIN MOJITO MINT 70CL,XAROPES,0
937667,ESPUMANTE PROSECCO PERLINO 75CL,ESPUMANTES ESTRANGEIROS,0
811231,XAROPE ACÉR PURO LES INDUTRIES B&F 251ML,MEL E DOCES,0
726625,COGUMELO SHITAKE RCH,LEGUMES FRESCOS,0
961266,* QUICHE DE ALHO FRANCÊS SI,PRATO VEGETARIANO,0
372342,TAMBORIL MEDIO + 3 Kgs  RCH F03,PESCADO SELVAGEM,0
862755,5BAGAS PIMENTA MCHEF FCO 480G,ESPECIARIAS,1
871249,"GELADO CHOCOLATE DAVVERO PL 3,9KG",GELADOS CATERING,0
107784,GIN GORDONS MINIATURAS 5CL,GINS,0
877305,VODKA ABSOLUT BLUE  5CL,VODKA,0
944713,* CALDEIRADA DE LULAS INOX,PRATO DE PEIXE,0
952211,* BATATA A MURRO INOX,ACOMPANHAMENTO,0
731130,CERVEJA SAGRES RADLER 33CL,CERVEJAS SABORES,0
941700,V. TEJO ENCOSTA SOBRAL SAUV. BLANC BCO75,VINHOS BRANCOS,0
939342,* CHILLI VEGETARIANO INOX,PRATO VEGETARIANO,0
951870,* ROUPA VELHA VEGETARIANA INOX,PRATO VEGETARIANO,0
952212,* FEIJOADA DE SOJA INOX,PRATO VEGETARIANO,0
10006994,* QUINOA C LEG TOM SECO E AZEIT SI,ACOMPANHAMENTO,0
900824,V.DOURO C.BOAL HOMENAGEM GR 2011TTO 75C,VINHOS TINTOS,0
4733,V.DÃO CASA DE SANTAR TTO 75CL,VINHOS TINTOS,0
921359,DET MULTIUSOS MCHEF CONC NEUT 5L,DETERGENTE LOIÇA,1
945881,ABACATE MET ARDO CG 1K,FRUTAS,0
118864,LICOR GRAND MARNIER CORDON ROUGE 70CL,LICORES,0
968360,V.DAO EVIDENCIA DOC TOUR NAC 75CL,VINHOS TINTOS,0
968361,V.DAO EVIDENCIA DOC TTO 75CL,VINHOS TINTOS,0
971610,V. DOC DÃO EVIDÊNCIA ENCRUZADO BCO 75CL,VINHOS BRANCOS,0
816308,QJ AZEITÃO DOP SANTIAGO UN,QUEIJOS PRATO,0
10006822,FRANGO TERIYAKI*,PRATO DE CARNE,0
907199,CHOCOLATE TOBLERONE MINI 113X8G,CHOCOLATE,0
642581,V.ALENT.DONA MARIA GRANDE RES.TTO 75CL,VINHOS TINTOS,0
