Client ID,ZIP Code,ID Client Type
210101332,4450,
210101334,4510,
210101335,4510,
210101336,4420,
210101337,4450,
210101338,4435,
210101339,4420,
210101340,4435,
210101341,4515,
210101343,4435,
210101344,4465,
210101345,4000,
210101347,4430,
210101348,4470,
210101349,4050,
210101350,4515,
210101351,4515,
210101352,4740,
210101353,4480,
210101354,4430,
210101355,4510,
210101356,4450,
210101357,4785,
210101358,3720,
210101359,4100,
210101360,4050,
210101361,4500,
210101362,4050,
210101363,4410,
210101364,4500,
210101365,1249,
210101366,4000,
210101367,4650,
210101368,4050,
210101369,4410,
210101370,4405,
210101371,4100,
210101372,4760,
210101373,4536,
210101374,4536,
210101375,1990,
210101376,1990,
210101377,1990,
210101378,4400,
210101379,4000,
210101380,4000,
210101381,4000,
210101382,4535,
210101383,5085,
210101384,7300,
210101385,4400,
210101386,4400,
210101387,4440,
210101389,4410,
210101390,1495,
210101391,4536,
210101392,4535,
210101393,4200,
210101394,2795,
210101396,4000,
210101397,4420,
210101398,4435,
210101399,4745,
210101400,4200,
210101401,4450,
210101402,4470,
210101403,4300,
210101404,4100,
210101405,4050,
210101406,4000,
210101407,4300,
210101408,4000,
210101409,4150,
210101410,4000,
210101411,4000,
210101412,4000,
210101413,4050,
210101414,4100,
210101415,4050,
210101416,4050,
210101417,4450,
210101418,4450,
210101419,4404,
210101420,4000,
210101421,4455,
210101422,4400,
210101423,1495,
210101424,1250,
210101425,1250,
210101426,1250,
210101427,1250,
210101428,4150,
210101429,4490,
210101430,4470,
210101431,4250,
210101432,4415,
210101433,4410,
210101434,4400,
210101435,4780,
210101436,4740,
210101437,4515,
210101438,4150,
210101439,4536,
210101440,4536,
210101441,4465,
210101442,4400,
210101444,4050,
210101445,4000,
210101446,4405,
210101447,4760,
210101448,4515,
210101449,4200,
210101450,4100,
210101451,4415,
210101452,4465,
210101453,4435,
210101454,4300,
210101455,4000,
210101456,4300,
210101457,4350,
210101458,4300,
210101459,4200,
210101460,4200,
210101461,4000,
210101462,4050,
210101463,4100,
210101464,4100,
210101465,4100,
210101466,4050,
210101467,4100,
210101468,4150,
210101469,4150,
210101471,4405,
210101472,4150,
210101473,4100,
210101474,4445,
210101475,4250,
210101477,4455,
210101478,4100,
210101479,4100,
210101480,4150,
210101481,4400,
210101482,4150,
210101483,4785,
210101484,4200,
210101485,4149,
210101486,4050,
210101487,4050,
210101489,4000,
210101490,4100,
210101491,4400,
210101492,4410,
210101493,4490,
210101494,4740,
210101495,4455,
210101496,4149,
210101497,4490,
210101498,4760,
210101499,4050,
210101500,4435,
210101501,4420,
210101503,4050,
210101504,4050,
210101505,4050,
210101506,4050,
210101507,4050,
210101508,4050,
210101509,4520,
210101510,4460,
210101511,4404,
210101512,4435,
210101513,4000,
210101514,4050,
210101515,4050,
210101516,4400,
210101517,4515,
210101519,4200,
210101520,4785,
210101522,4150,
210101524,4200,
210101525,4100,
210101526,4430,
210101527,4460,
210101528,4200,Coletiva/Instituição/Cantina
210101530,4100,
210101531,4400,
210101532,4150,
210101533,4400,
210101535,4050,
210101536,4150,
210101537,4425,
210101538,4425,
210101540,3830,
210101541,4350,
210101542,3830,
210101543,4445,
210101544,4150,
210101545,2700,
210101546,4000,
210101547,4050,
210101548,4400,
210101549,4000,
210101551,4150,
210101552,4150,
210101553,4420,
210101554,4435,
210101555,4050,
210101557,4510,
210101558,4510,
210101559,4510,
210101560,4050,
210101561,4150,
210101562,4150,
210101564,4050,
210101565,4150,
210101566,4200,
210101567,4200,
210101568,4200,
210101569,4460,
210101570,4050,
210101571,4050,
210101572,4785,
210101573,4455,
210101575,4450,
210101576,4440,
210101577,4470,
210101578,4050,
210101579,4470,
210101580,4450,
210101581,4470,
210101582,4430,
210101583,1249,
210101584,4590,
210101585,4000,
210101586,1000,
210101587,4150,
210101589,4480,
210101590,4590,
210101591,4430,
210101592,4430,
210101593,4400,
210101594,4400,
210101595,4400,
210101596,4400,
210101597,4535,
210101598,4536,
210101599,4536,
210101600,4536,
210101601,4536,
210101602,4536,
210101603,4536,
210101604,4000,
210101605,4400,
210101606,4350,
210101607,4440,
210101608,4600,
210101609,4350,
210101610,4350,
210101611,4350,
210101612,4350,
210101613,4400,
210101614,4536,
210101615,4435,
210101616,4250,
210101617,4100,
210101618,4536,
210101619,4745,
210101620,4740,
210101621,4740,
210101623,4740,
210101624,4445,
210101625,4300,
210101626,4100,
210101627,4420,
210101630,4000,
210101631,4250,
210101633,4470,
210101634,4300,
210101635,4200,
210101637,4000,
210101638,4200,
210101639,4150,
210101640,4100,
210101641,4050,
210101643,4150,
210101645,4100,
210101646,4450,
210101647,4455,
210101648,4100,
210101649,4455,
210101650,4450,
210101651,4450,
210101652,4250,
210101653,4050,
210101654,4425,
210101655,4425,
210101656,4000,
210101657,4250,
210101658,4100,
210101660,4200,
210101661,4050,
210101662,4050,
210101663,4050,
210101664,4100,
210101665,4100,
210101667,4000,
210101670,4000,
210101671,4000,
210101672,4200,
210101674,4450,
210101675,1000,
210101676,1000,
210101677,1000,
210101680,4420,
210101682,1000,
210101683,4100,
210101684,4460,
210101685,4404,
210101686,4430,
210101687,4400,
210101688,4400,
210101689,4430,
210101690,4050,
210101691,4450,
210101692,4400,
210101693,4000,
210101694,4536,
210101695,4536,
210101696,4745,
210101697,4745,
210101698,4745,
210101699,4450,
210101700,4450,
210101702,4150,
210101703,4100,
210101704,4100,
210101705,4100,
210101706,4450,
210101708,4430,
210101709,4430,
210101710,4050,
210101711,4150,
210101712,4455,
210101713,4450,
210101714,4100,
210101715,4100,
210101716,4100,
210101717,4100,
210101718,4100,
210101719,4100,
210101720,4780,
210101721,4050,
210101722,4400,
210101723,4420,
210101724,4485,
210101725,4760,
210101726,4400,
210101727,4410,
210101728,1400,
210101729,4420,
210101730,4490,
210101731,4500,
210101732,4150,
210101733,4490,
210101734,4795,
210101736,4000,
210101737,4405,
210101738,4050,
210101739,1000,
210101740,4465,
210101741,4595,
210101742,4435,
210101743,1000,
210101744,4470,
210101745,4450,
210101747,3880,
210101748,4780,
210101749,3880,
210101750,4485,
210101751,4780,
210101752,4745,
210101753,4350,
210101754,4470,
210101755,4470,
210101756,4150,
210101757,4150,
210101758,4450,
210101759,4450,
210101760,4150,
210101761,4450,
210101762,4490,
210101763,4490,
210101764,4000,
210101765,4000,
210101766,4460,
210101767,4650,
210101768,4470,
210101769,3885,
210101770,4250,
210101771,4100,
210101772,4510,
210101773,4100,
210101775,4485,
210101776,4300,
210101777,4500,
210101778,4480,
210101780,4100,
210101781,1399,
210101782,4250,
210101783,4000,
210101785,4100,
210101786,4450,
210101787,4300,
210101788,4050,
210101789,4455,
210101790,4100,
210101792,4150,
210101793,1250,
210101794,4150,
210101795,4100,
210101796,4450,
210101797,4050,
210101798,4050,
210101799,4490,
210101800,4850,
210101801,4485,
210101802,4930,
210101803,4510,
210101804,4415,Restaurante - Cozinha Portuguesa
210101805,4450,
210101806,4100,
210101807,4450,
210101808,4930,
210101809,4451,
210101810,4520,
210101811,4000,
210101812,4400,
210101813,4430,
210101814,4785,
210101815,4480,
210101816,4149,
210101819,4150,
210101820,1200,
210101823,4430,
210101824,4405,
210101825,4430,
210101826,4780,
210101827,3870,
210101828,4000,
210101829,4785,
210101830,4520,
210101831,4470,
210101832,4415,
210101833,4430,
210101834,4760,
210101835,4100,
210101836,4480,
210101837,3880,
210101838,4430,
210101839,4100,
210101840,4560,
210101841,4460,
210101842,4740,
210101844,4435,
210101845,4405,
210101846,4435,
210101847,4150,
210101848,4150,
210101849,4100,
210101850,4430,
210101852,3885,
210101853,4100,
210101854,4050,
210101855,4785,
210101856,4100,
210101857,4000,
210101858,4000,
210101860,4485,
210101861,4480,
210101862,4450,
210101863,4400,
210101864,3700,
210101865,3700,
210101866,3700,
210101869,3700,
210101870,3700,
210101871,3700,
210101872,4050,
210101874,4485,
210101875,4740,
210101876,3700,
210101877,4460,
